epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
131,3075.64,0.60303,0.48645,0.04822,0.64186,0.69444,0.60567,0.26297,0.73875,0.55408,0.06758,0.000140137,0.000140137,0.000140137
132,3098.85,0.60028,0.49503,0.05012,0.65941,0.66667,0.60019,0.26237,0.74821,0.54183,0.06876,0.000136687,0.000136687,0.000136687
133,3122.1,0.60716,0.50234,0.04393,0.67515,0.68056,0.62258,0.26646,0.75725,0.53129,0.07719,0.000133266,0.000133266,0.000133266
134,3145.49,0.60858,0.48424,0.05303,0.64443,0.67965,0.61086,0.26923,0.74042,0.53703,0.06928,0.000129874,0.000129874,0.000129874
135,3168.8,0.59265,0.50452,0.05079,0.65716,0.70486,0.61465,0.25731,0.75119,0.54253,0.07367,0.000126512,0.000126512,0.000126512
136,3192.16,0.58605,0.47243,0.04903,0.66108,0.71528,0.63038,0.28503,0.71636,0.53248,0.06976,0.000123182,0.000123182,0.000123182
137,3216.03,0.57329,0.48552,0.05462,0.69348,0.71181,0.66585,0.30286,0.72809,0.52085,0.07675,0.000119883,0.000119883,0.000119883
138,3240.03,0.60162,0.48166,0.06104,0.70108,0.69222,0.6619,0.28845,0.73581,0.5311,0.07235,0.000116617,0.000116617,0.000116617
139,3263.36,0.59657,0.47791,0.0635,0.74112,0.69582,0.68079,0.30602,0.73101,0.5253,0.06834,0.000113384,0.000113384,0.000113384
140,3287.4,0.58091,0.47826,0.04456,0.72652,0.66667,0.66931,0.29107,0.7172,0.5329,0.06536,0.000110186,0.000110186,0.000110186
141,3310.7,0.57851,0.49307,0.04883,0.73123,0.66319,0.65284,0.27496,0.73924,0.53504,0.06758,0.000107023,0.000107023,0.000107023
142,3333.95,0.57253,0.49023,0.05376,0.76422,0.64931,0.68636,0.3023,0.72105,0.53175,0.06632,0.000103896,0.000103896,0.000103896
143,3357.28,0.57178,0.48498,0.05239,0.74992,0.65278,0.68031,0.3133,0.72424,0.53147,0.06783,0.000100806,0.000100806,0.000100806
144,3381.17,0.56318,0.48154,0.04391,0.73241,0.66526,0.68964,0.31589,0.73325,0.52465,0.06712,9.77524e-05,9.77524e-05,9.77524e-05
145,3405.06,0.55982,0.48784,0.05811,0.7503,0.66319,0.69709,0.31259,0.73199,0.51497,0.06716,9.47376e-05,9.47376e-05,9.47376e-05
146,3428.33,0.56481,0.47572,0.04257,0.72149,0.68056,0.67474,0.30927,0.72989,0.52978,0.06824,9.17616e-05,9.17616e-05,9.17616e-05
147,3451.49,0.55726,0.47158,0.04369,0.72856,0.68403,0.68404,0.30492,0.7485,0.5316,0.06965,8.88253e-05,8.88253e-05,8.88253e-05
148,3474.68,0.54942,0.48166,0.04774,0.77778,0.64412,0.69772,0.31407,0.72585,0.52951,0.06809,8.59294e-05,8.59294e-05,8.59294e-05
149,3497.97,0.5414,0.47023,0.06309,0.72937,0.68312,0.68845,0.3009,0.74776,0.52823,0.07232,8.30746e-05,8.30746e-05,8.30746e-05
150,3521.35,0.54665,0.48685,0.0422,0.7607,0.67361,0.69068,0.31218,0.73114,0.52262,0.07065,8.02616e-05,8.02616e-05,8.02616e-05
151,3544.76,0.56137,0.47287,0.04927,0.73352,0.70139,0.68175,0.30428,0.71482,0.55056,0.06715,7.74911e-05,7.74911e-05,7.74911e-05
152,3567.93,0.55996,0.45614,0.04618,0.75195,0.67366,0.69563,0.32887,0.7026,0.52225,0.0634,7.47637e-05,7.47637e-05,7.47637e-05
153,3591.89,0.55129,0.47221,0.05185,0.75946,0.69097,0.69718,0.31389,0.71405,0.5265,0.06624,7.20803e-05,7.20803e-05,7.20803e-05
154,3615.33,0.5832,0.47336,0.04613,0.73116,0.69444,0.70479,0.32081,0.71386,0.53871,0.0662,6.94413e-05,6.94413e-05,6.94413e-05
155,3638.6,0.5728,0.47202,0.05101,0.76841,0.69097,0.71456,0.32016,0.71575,0.52807,0.06745,6.68475e-05,6.68475e-05,6.68475e-05
156,3661.89,0.54311,0.46755,0.04535,0.7561,0.68889,0.7086,0.3154,0.71491,0.54068,0.06798,6.42995e-05,6.42995e-05,6.42995e-05
157,3685.19,0.56194,0.45741,0.05101,0.79569,0.66261,0.7144,0.32761,0.72201,0.52122,0.07935,6.1798e-05,6.1798e-05,6.1798e-05
158,3708.43,0.55876,0.45576,0.06032,0.78433,0.66319,0.71246,0.32856,0.73297,0.52175,0.07092,5.93435e-05,5.93435e-05,5.93435e-05
159,3731.65,0.56452,0.46216,0.05212,0.75498,0.66334,0.71265,0.32581,0.73699,0.52327,0.0718,5.69366e-05,5.69366e-05,5.69366e-05
160,3754.91,0.53578,0.45932,0.0461,0.7913,0.67141,0.71278,0.33209,0.7152,0.53081,0.06746,5.4578e-05,5.4578e-05,5.4578e-05
161,3779.13,0.55217,0.4615,0.051,0.76656,0.68056,0.69822,0.32016,0.72027,0.54078,0.06773,5.22683e-05,5.22683e-05,5.22683e-05
162,3802.38,0.51873,0.45861,0.04898,0.74503,0.67361,0.70806,0.33324,0.71357,0.53449,0.06801,5.00079e-05,5.00079e-05,5.00079e-05
163,3826.46,0.54383,0.47273,0.03399,0.72889,0.67708,0.70712,0.33139,0.71837,0.53877,0.07093,4.77976e-05,4.77976e-05,4.77976e-05
164,3849.86,0.52802,0.4686,0.03712,0.76193,0.67014,0.70957,0.33477,0.71217,0.53099,0.06464,4.56377e-05,4.56377e-05,4.56377e-05
165,3873.99,0.5312,0.46325,0.04966,0.74388,0.67014,0.6926,0.32997,0.71481,0.53205,0.06657,4.35288e-05,4.35288e-05,4.35288e-05
166,3897.38,0.53725,0.46586,0.04577,0.73656,0.66016,0.70096,0.33177,0.72545,0.51699,0.06953,4.14716e-05,4.14716e-05,4.14716e-05
167,3920.63,0.50807,0.46212,0.03858,0.74587,0.67259,0.70888,0.34423,0.72077,0.51369,0.06929,3.94663e-05,3.94663e-05,3.94663e-05
168,3944.72,0.54743,0.46265,0.04554,0.73625,0.67849,0.69435,0.32183,0.75477,0.51415,0.07459,3.75137e-05,3.75137e-05,3.75137e-05
169,3968.08,0.52785,0.46523,0.04121,0.73535,0.68501,0.70063,0.33793,0.74074,0.50767,0.07217,3.56141e-05,3.56141e-05,3.56141e-05
170,3991.37,0.55341,0.4599,0.04624,0.76191,0.66667,0.70803,0.33804,0.74114,0.50015,0.0718,3.3768e-05,3.3768e-05,3.3768e-05
171,4014.75,0.54186,0.44772,0.04849,0.745,0.67966,0.70377,0.33701,0.74009,0.50229,0.08156,3.19759e-05,3.19759e-05,3.19759e-05
172,4037.97,0.53349,0.4518,0.04072,0.71797,0.69444,0.71039,0.34439,0.72934,0.50657,0.06933,3.02382e-05,3.02382e-05,3.02382e-05
173,4061.9,0.52556,0.45055,0.05481,0.74805,0.68403,0.71055,0.34378,0.73105,0.50331,0.07987,2.85553e-05,2.85553e-05,2.85553e-05
174,4085.19,0.53292,0.45456,0.03766,0.75218,0.68504,0.71237,0.34216,0.7351,0.49752,0.08132,2.69277e-05,2.69277e-05,2.69277e-05
175,4108.47,0.53273,0.45434,0.03876,0.76566,0.68403,0.71377,0.3481,0.72633,0.4981,0.06977,2.53557e-05,2.53557e-05,2.53557e-05
176,4132.43,0.53202,0.44813,0.05243,0.75039,0.67851,0.70631,0.34876,0.71947,0.50222,0.06899,2.38398e-05,2.38398e-05,2.38398e-05
177,4156.35,0.50509,0.44362,0.05079,0.76829,0.66775,0.71084,0.34709,0.71452,0.49843,0.06792,2.23803e-05,2.23803e-05,2.23803e-05
